P1_001N,P13_001N,P11_001N,P11_002N,P11_005N,P11_006N,P11_008N,geo_id
206,35.7,155,40,17,90,6,421010305013008
175,37.5,139,21,28,69,14,421010305013009
129,32.5,96,25,17,36,17,421010305013010
125,31.5,92,39,17,13,16,421010305021000
109,32.8,81,19,21,37,4,421010305021001
92,41.0,65,13,13,38,1,421010305021002
36,37.6,29,4,8,17,0,421010305021003
56,39.5,41,18,5,16,0,421010305021005
114,37.7,81,19,19,39,0,421010305021006
196,47.4,155,33,19,94,9,421010305021007
215,31.9,166,34,18,96,9,421010305021008
256,40.8,190,27,25,113,16,421010305021009
183,35.8,138,52,15,66,0,421010305022000
143,36.5,101,13,15,56,12,421010305022001
115,38.8,74,16,7,47,4,421010305022002
106,41.5,86,8,20,45,5,421010305022003
169,39.4,136,33,16,73,13,421010305022004
115,33.4,78,20,14,42,0,421010305022005
148,34.5,115,24,10,67,7,421010305022006
167,27.9,123,27,7,79,6,421010305022007
194,32.5,133,34,15,73,10,421010305022008
75,40.7,56,4,16,25,11,421010305023000
128,33.5,97,26,13,42,15,421010305023001
132,38.7,94,23,19,52,0,421010305023002
28,43.3,20,1,0,17,0,421010063004016
40,16.0,20,1,0,16,0,421010063004013
46,24.5,25,5,0,20,0,421010063004014
36,34.5,21,0,0,21,0,421010063004015
51,34.8,42,6,0,36,0,421010063004017
22,47.5,16,0,0,16,0,421010063004018
58,20.7,37,0,1,26,10,421010063004019
53,40.8,43,1,0,42,0,421010063004020
28,28.0,18,6,0,8,3,421010063004022
33,33.5,23,4,4,13,2,421010063004023
5,53.3,3,0,1,0,2,421010063004024
35,32.8,27,0,1,23,3,421010063004025
28,30.0,19,2,0,11,0,421010063004026
132,55.0,106,9,89,0,8,421010333002012
4,29.0,4,0,0,3,0,421019808001001
94,68.5,88,6,52,27,3,421010333001015
646,79.5,636,31,463,116,12,421010333001016
38,32.5,27,0,24,3,0,421010333001017
101,54.8,81,7,55,8,3,421010333001018
81,44.8,67,14,44,3,5,421010333001021
89,34.5,81,15,37,7,18,421010333001022
130,31.4,99,23,38,13,25,421010333001023
125,39.3,98,1,84,1,8,421010333001024
173,40.1,141,4,109,13,8,421010333001025
114,66.0,89,7,75,4,2,421010333001026
175,54.4,150,9,94,26,14,421010333002000
337,32.1,265,31,159,51,6,421010333002001
94,59.7,87,2,65,6,14,421010333002006
75,63.8,60,5,50,0,4,421010333002007
67,51.5,59,1,50,2,6,421010333002008
83,44.8,72,10,40,2,10,421010333002009
93,52.8,87,4,63,4,14,421010333002010
81,47.8,65,9,47,2,6,421010333002011
55,23.5,30,0,0,26,0,421010063004027
158,29.5,110,0,1,87,22,421010064001000
124,30.0,78,2,3,70,0,421010064001001
89,37.8,65,5,0,54,3,421010064001002
289,32.6,213,0,18,186,4,421010064001003
164,30.5,115,3,3,101,3,421010064001004
162,31.2,112,5,7,92,0,421010064001005
132,30.7,97,6,5,70,16,421010064001006
60,26.0,51,1,0,36,11,421010064001007
11,28.1,9,2,3,3,1,421010064001008
151,36.3,117,17,0,59,41,421010064001009
120,28.9,84,6,2,72,4,421010064002000
119,36.5,88,0,0,85,0,421010064002001
172,33.0,126,0,13,100,13,421010064002002
230,37.9,189,4,12,168,1,421010064002003
222,38.8,172,1,11,154,0,421010064002004
122,40.3,88,0,7,78,1,421010064002005
92,23.2,52,0,0,39,13,421010064002006
158,31.4,111,1,4,78,24,421010064002007
163,40.1,116,4,6,105,0,421010112006002
126,32.0,80,0,0,74,1,421010112006000
171,30.8,128,4,2,112,0,421010112006001
165,46.1,139,2,0,136,0,421010112006003
81,40.5,64,1,1,61,0,421010112006004
76,20.9,51,0,2,45,0,421010112006005
164,48.0,115,1,0,103,8,421010112007000
143,40.6,107,0,0,107,0,421010112007001
169,27.3,108,1,2,103,0,421010112007002
107,39.1,81,0,1,76,0,421010112007003
129,26.6,90,5,0,79,1,421010112007004
127,34.5,85,0,0,83,0,421010112007005
170,33.9,122,2,0,116,0,421010113001000
217,56.3,179,2,0,171,0,421010113001002
221,39.9,191,1,3,186,0,421010113001003
212,58.2,179,4,0,172,0,421010113001004
222,51.0,169,1,0,164,1,421010113001005
19,41.5,19,0,0,17,0,421010113002000
44,32.5,40,2,0,37,0,421010113002001
35,47.1,30,0,2,27,0,421010113002002
70,32.0,51,2,4,44,1,421010113002003
125,44.3,109,0,3,102,0,421010113002004
119,33.4,85,2,0,79,0,421010113002005
86,54.5,59,0,0,57,0,421010113002006
78,37.4,57,3,2,50,0,421010113002007
62,44.0,50,1,1,48,0,421010113002008
2,49.5,2,0,2,0,0,421019808001007
7,50.5,4,1,2,0,0,421019808001013
7,42.5,7,0,0,3,3,421019809011000
78,26.0,55,1,0,51,2,421010113002009
24,49.7,24,2,0,21,0,421010113002010
69,30.4,51,1,0,44,1,421010113002011
113,47.8,87,3,0,80,0,421010113003000
220,36.8,173,7,0,164,0,421010113003001
212,40.8,164,7,5,148,0,421010113003002
127,33.7,93,4,2,84,0,421010113003003
15,56.3,13,9,0,4,0,421010163002012
52,27.0,32,23,0,9,0,421010163002009
27,40.5,18,14,0,3,0,421010163002013
42,24.5,21,11,4,6,0,421010163002014
9,16.5,4,4,0,0,0,421010163002015
65,24.6,48,26,3,15,1,421010163002016
38,25.5,21,18,0,3,0,421010163002017
21,53.3,13,9,4,0,0,421010163002020
30,33.0,18,16,0,2,0,421010163002021
60,37.7,46,40,1,5,0,421010163002022
85,38.3,62,50,4,7,0,421010163002023
66,31.0,62,42,8,6,6,421010163002024
65,50.5,55,44,6,5,0,421010163002025
81,38.9,63,42,5,9,7,421010163002026
50,41.5,42,26,11,1,4,421010163002027
12,27.0,8,6,0,0,2,421010163002028
36,32.0,24,7,4,7,2,421010163003000
46,38.0,41,7,6,25,2,421010163003001
180,26.0,107,65,0,42,0,421010163003002
97,40.3,84,74,3,7,0,421010163003003
110,23.0,73,54,5,7,5,421010163003004
81,28.8,64,48,0,12,1,421010163003005
81,47.1,67,52,0,10,0,421010163003006
97,42.1,86,62,7,12,4,421010163003007
